[803035]    $DSM15,055643,+62.24600,+026.14105,124.0,7.0,81.6,0F
[803274]    $DSM00,055643,+62.27044,+026.14843,7800.0,87.0,233.4,0F
[803338]    $DSM01,055644,+62.24304,+025.73919,168.0,0.0,0.0,0F
[803610]    $DSM09,055642,+62.27013,+026.14940,7626.0,90.0,237.7,0F
[803642]    $DSM0A,055644,+62.24597,+026.14206,144.0,0.0,0.0,0F
[803690]    $DSM0B,055644,+62.24603,+026.14212,124.0,0.0,109.7,0F
[803722]    $DSM0C,055644,+62.25349,+026.07871,86.0,20.0,101.2,0F
[803850]    $DSM10,055644,+62.24567,+026.14227,122.0,0.0,191.2,0F
[803930]    $DSM12,055644,+62.24583,+026.14216,128.0,0.0,156.1,0F
[803993]    $DSM14,055644,+62.25288,+026.08794,106.0,24.0,94.2,0F
[804041]    $DSM15,055644,+62.24601,+026.14120,124.0,7.0,80.2,0F
[804137]    $DSM18,055644,+62.25359,+026.07708,84.0,24.0,94.2,0F
[804169]    $DSM19,055644,+62.24348,+026.14602,126.0,4.0,175.8,0F
[804265]    $DSM00,055644,+62.26976,+026.14712,7798.0,88.0,229.2,0F
[804344]    $DSM01,055645,+62.24304,+025.73919,168.0,0.0,0.0,0F
[804616]    $DSM09,055642,+62.27013,+026.14940,7626.0,90.0,237.7,0F
[804649]    $DSM0A,055645,+62.24597,+026.14206,144.0,0.0,0.0,0F
[804681]    $DSM0B,055645,+62.24603,+026.14212,124.0,0.0,109.7,0F
[804712]    $DSM0C,055645,+62.25345,+026.07908,86.0,19.0,99.8,0F
[804856]    $DSM10,055645,+62.24567,+026.14227,122.0,0.0,191.2,0F
[804936]    $DSM12,055645,+62.24583,+026.14216,128.0,0.0,156.1,0F
[805144]    $DSM18,055645,+62.25356,+026.07753,84.0,23.0,95.6,0F
[805176]    $DSM19,055645,+62.24346,+026.14602,126.0,3.0,178.6,0F
[805272]    $DSM00,055645,+62.26909,+026.14585,7796.0,88.0,226.4,0F
[805336]    $DSM01,055646,+62.24304,+025.73919,168.0,0.0,0.0,0F
[805607]    $DSM09,055643,+62.27013,+026.14940,7626.0,90.0,237.7,0F
[805639]    $DSM0A,055646,+62.24597,+026.14206,144.0,0.0,0.0,0F
[805687]    $DSM0B,055646,+62.24603,+026.14212,124.0,0.0,109.7,0F
[805719]    $DSM0C,055646,+62.25340,+026.07948,88.0,21.0,99.8,0F
[805862]    $DSM10,055646,+62.24567,+026.14227,122.0,0.0,191.2,0F
[805927]    $DSM12,055646,+62.24583,+026.14216,128.0,0.0,156.1,0F
[805991]    $DSM14,055646,+62.25284,+026.08888,108.0,24.0,94.2,0F
[806038]    $DSM15,055646,+62.24601,+026.14146,124.0,7.0,81.6,0F
[806135]    $DSM18,055646,+62.25355,+026.07798,84.0,23.0,97.0,0F
[806167]    $DSM19,055646,+62.24344,+026.14602,126.0,2.0,181.4,0F
[806278]    $DSM00,055646,+62.26844,+026.14465,7794.0,89.0,223.6,0F
[806342]    $DSM01,055647,+62.24304,+025.73919,168.0,0.0,0.0,0F
[806614]    $DSM09,055644,+62.26932,+026.14744,7634.0,85.0,233.4,0F
[806646]    $DSM0A,055647,+62.24597,+026.14206,144.0,0.0,0.0,0F
[806694]    $DSM0B,055647,+62.24603,+026.14212,124.0,0.0,109.7,0F
